tconst,titleType,startYear,runtimeMinutes,genres,averageRating,sex_code,violence_code,profanity_code,drug_code,intense_code,final_certificate
tt3560686,movie,2014,116.0,"Crime,Drama,Thriller",8.0,1.0,2.0,2.0,4.0,2.0,T16
tt2006040,movie,2012,100.0,"Comedy,Horror",5.8,1.0,2.0,3.0,2.0,2.0,T16
tt0096073,movie,1988,97.0,"Drama,Fantasy,Horror",5.8,2.0,2.0,2.0,1.0,3.0,T16
tt1483797,movie,2009,102.0,"Action,Animation,Sci-Fi",7.5,3.0,3.0,4.0,3.0,3.0,T13
tt5442456,movie,2017,93.0,"Action,Sci-Fi,Thriller",5.8,2.0,4.0,3.0,2.0,4.0,T18
tt0422320,movie,2004,160.0,"Action,Drama,Romance",8.1,1.0,1.0,1.0,2.0,2.0,K
tt0186045,movie,2000,96.0,"Comedy,Crime,Mystery",5.7,2.0,2.0,3.0,3.0,2.0,T13
tt0085615,movie,1983,128.0,"Crime,Drama,Mystery",6.7,2.0,3.0,2.0,3.0,2.0,T16
tt6378710,movie,2019,90.0,"Comedy,Drama,Horror",6.2,2.0,3.0,4.0,3.0,3.0,T16
tt0850253,movie,2007,99.0,"Action,Drama,History",6.6,1.0,3.0,2.0,2.0,3.0,T16
tt0282120,movie,2002,85.0,"Adventure,Animation,Comedy",5.6,1.0,2.0,1.0,1.0,2.0,K
tt7510346,movie,2020,94.0,"Drama,Horror,Mystery",3.9,2.0,3.0,2.0,1.0,3.0,T13
tt0082427,movie,1981,96.0,Horror,5.9,3.0,3.0,2.0,3.0,3.0,T18
tt0062480,movie,1967,105.0,"Adventure,Comedy,Drama",7.0,2.0,4.0,2.0,2.0,3.0,T18
tt0485976,movie,2006,136.0,"Action,Adventure,Comedy",6.6,1.0,2.0,1.0,1.0,3.0,T13
tt0084745,movie,1982,91.0,"Horror,Sci-Fi",5.3,3.0,2.0,2.0,2.0,2.0,T13
tt6857988,movie,2018,98.0,Comedy,6.3,3.0,1.0,2.0,2.0,1.0,T13
tt0368667,movie,2003,68.0,"Adventure,Animation,Music",7.8,1.0,2.0,1.0,1.0,2.0,K
tt0119280,movie,1997,101.0,"Biography,Drama,History",7.2,2.0,2.0,2.0,2.0,2.0,K
tt0384819,movie,2003,128.0,"Action,Adventure,Drama",6.8,3.0,4.0,2.0,2.0,3.0,T18
tt0163983,movie,2000,107.0,"Crime,Drama,Horror",5.1,1.0,4.0,3.0,4.0,4.0,T16
tt0076095,movie,1977,111.0,"Comedy,Drama,Romance",7.4,2.0,1.0,2.0,2.0,1.0,T18
tt4420704,movie,2016,79.0,Documentary,7.6,1.0,1.0,1.0,1.0,1.0,K
tt1226240,movie,2012,105.0,"Drama,Music",7.1,3.0,2.0,2.0,2.0,1.0,T16
tt0095560,movie,1988,99.0,"Adventure,Comedy,Family",3.3,2.0,2.0,1.0,2.0,3.0,K
tt11750282,movie,2020,97.0,"Adventure,Drama,Horror",6.1,1.0,4.0,2.0,2.0,3.0,T16
tt2386237,movie,2018,89.0,"Horror,Mystery,Thriller",4.8,2.0,4.0,3.0,2.0,3.0,T16
tt0158714,movie,1973,97.0,"Action,Crime,Drama",7.6,3.0,4.0,2.0,2.0,3.0,T18
tt0816258,movie,2006,164.0,"Action,Crime,Thriller",8.0,3.0,3.0,2.0,3.0,3.0,T13
